,,Accuracy,Recall
0,Validation Data Results with KNN,0.7214689265536723,0.9282442748091603
1,Testing Data Results with KNN,0.6847457627118644,0.8669724770642202
2,,,
3,Validation Data Results with RFC,0.7163841807909604,0.917175572519084
4,Testing Data Results with RFC,0.7186440677966102,0.9174311926605505
