,,Accuracy,Recall
0,Validation Data Results with KNN,0.72090395480226,0.9240458015267174
1,Testing Data Results with KNN,0.7423728813559322,0.9678899082568807
2,,,
3,Validation Data Results with RFC,0.724858757062147,0.951145038167939
4,Testing Data Results with RFC,0.7050847457627119,0.9311926605504587
